dataset_group,experiment,run,root,root_id,method,candidate_count,root_rank,top2_hit,top5_hit,acc,top_services,root_score,run_dir
sockshop_mesh_extended,el_e16,run01,carts,3,pearson_entry_abs,6,6,0.0,0.0,0.2857,user > orders > catalogue > shipping > payment > carts,0.10576047008616402,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e16\run01
sockshop_mesh_extended,el_e16,run01,carts,3,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,carts > shipping > user > payment > catalogue > orders,1.836377125561466,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e16\run01
sockshop_mesh_extended,el_e2,run01,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run01
sockshop_mesh_extended,el_e2,run01,payment,5,dycause,6,1,1.0,1.0,1.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run01
sockshop_mesh_extended,el_e2,run01,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,catalogue > payment > user > shipping > carts > orders,0.7784027685322389,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run01
sockshop_mesh_extended,el_e2,run01,payment,5,anomaly_z_mean_shift,6,4,0.0,1.0,0.5714,shipping > carts > user > payment > catalogue > orders,0.43238625029454475,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run01
sockshop_mesh_extended,el_e2,run02,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run02
sockshop_mesh_extended,el_e2,run02,payment,5,dycause,6,1,1.0,1.0,1.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run02
sockshop_mesh_extended,el_e2,run02,payment,5,pearson_entry_abs,6,4,0.0,1.0,0.5714,catalogue > orders > user > payment > carts > shipping,0.8926380368998026,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run02
sockshop_mesh_extended,el_e2,run02,payment,5,anomaly_z_mean_shift,6,5,0.0,1.0,0.4286,shipping > orders > carts > catalogue > payment > user,0.41491403973225943,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run02
sockshop_mesh_extended,el_e2,run03,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run03
sockshop_mesh_extended,el_e2,run03,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run03
sockshop_mesh_extended,el_e2,run03,payment,5,pearson_entry_abs,6,5,0.0,1.0,0.4286,shipping > carts > orders > user > payment > catalogue,0.30598858006807117,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run03
sockshop_mesh_extended,el_e2,run03,payment,5,anomaly_z_mean_shift,6,2,1.0,1.0,0.8571,user > payment > orders > shipping > catalogue > carts,1.8215642244051502,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run03
sockshop_mesh_extended,el_e2,run04,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run04
sockshop_mesh_extended,el_e2,run04,payment,5,dycause,6,4,0.0,1.0,0.5714,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run04
sockshop_mesh_extended,el_e2,run04,payment,5,pearson_entry_abs,6,4,0.0,1.0,0.5714,user > orders > catalogue > payment > shipping > carts,0.5684289381143324,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run04
sockshop_mesh_extended,el_e2,run04,payment,5,anomaly_z_mean_shift,6,3,0.0,1.0,0.7143,orders > catalogue > payment > shipping > user > carts,0.6067743554859857,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run04
sockshop_mesh_extended,el_e2,run05,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run05
sockshop_mesh_extended,el_e2,run05,payment,5,dycause,6,2,1.0,1.0,0.8571,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run05
sockshop_mesh_extended,el_e2,run05,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,catalogue > payment > orders > user > carts > shipping,0.41147697847526893,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run05
sockshop_mesh_extended,el_e2,run05,payment,5,anomaly_z_mean_shift,6,1,1.0,1.0,1.0,payment > carts > catalogue > orders > user > shipping,0.30478876325367993,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run05
sockshop_mesh_extended,el_e2,run06,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run06
sockshop_mesh_extended,el_e2,run06,payment,5,dycause,6,4,0.0,1.0,0.5714,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run06
sockshop_mesh_extended,el_e2,run06,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,user > payment > carts > orders > catalogue > shipping,0.82909239301161,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run06
sockshop_mesh_extended,el_e2,run06,payment,5,anomaly_z_mean_shift,6,2,1.0,1.0,0.8571,carts > payment > shipping > user > orders > catalogue,0.3492626309033562,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run06
sockshop_mesh_extended,el_e2,run07,payment,5,random_expected,6,expected,0.3333333333333333,0.8333333333333334,0.6428571428571429,random permutation,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run07
sockshop_mesh_extended,el_e2,run07,payment,5,dycause,6,,0.0,0.0,0.0,,,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run07
sockshop_mesh_extended,el_e2,run07,payment,5,pearson_entry_abs,6,2,1.0,1.0,0.8571,catalogue > payment > shipping > orders > user > carts,0.6463439377021817,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run07
sockshop_mesh_extended,el_e2,run07,payment,5,anomaly_z_mean_shift,6,2,1.0,1.0,0.8571,shipping > payment > orders > catalogue > carts > user,0.16947093788933185,D:\project\homework\sockshop\data\sockshop_mesh_extended\el_e2\run07
