case_id,dataset_group,experiment,run,root_service,entry_service,entry_index_0based,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,root_path_score,root_pearson_score,root_final_score,root_in_top_paths,dycause_entry_arg,entry_arg_zero_based
extended_el_e13_mesh_run10,sockshop_mesh_extended,el_e13,run10,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,user > orders > catalogue > carts > shipping > payment,0.5159441202291563,0.02666666666666667,0.48927745356248964,0.5159441202291563,True,1,False
extended_el_e14_mesh_run01,sockshop_mesh_extended,el_e14,run01,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,payment > shipping > carts > orders > user > catalogue,0.5354452341940314,0.0,0.5354452341940314,0.5354452341940314,False,0,True
extended_el_e14_mesh_run01,sockshop_mesh_extended,el_e14,run01,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,payment > shipping > carts > orders > user > catalogue,0.5354452341940314,0.0,0.5354452341940314,0.5354452341940314,False,1,False
extended_el_e15_mesh_run01,sockshop_mesh_extended,el_e15,run01,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,catalogue > user > payment > orders > carts > shipping,0.6196642839737075,0.0,0.6196642839737075,0.6196642839737075,False,0,True
extended_el_e15_mesh_run01,sockshop_mesh_extended,el_e15,run01,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,catalogue > user > payment > orders > carts > shipping,0.6196642839737075,0.0,0.6196642839737075,0.6196642839737075,False,1,False
extended_el_e16_mesh_run01,sockshop_mesh_extended,el_e16,run01,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > orders > catalogue > shipping > payment > carts,0.11242713675283068,0.006666666666666667,0.10576047008616402,0.11242713675283068,True,0,True
extended_el_e16_mesh_run01,sockshop_mesh_extended,el_e16,run01,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > orders > catalogue > shipping > payment > carts,0.10576047008616402,0.0,0.10576047008616402,0.10576047008616402,False,1,False
extended_el_e2_mesh_run01,sockshop_mesh_extended,el_e2,run01,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > user > shipping > carts > orders,0.7850694351989056,0.006666666666666667,0.7784027685322389,0.7850694351989056,True,0,True
extended_el_e2_mesh_run01,sockshop_mesh_extended,el_e2,run01,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > user > shipping > carts > orders,0.7784027685322389,0.0,0.7784027685322389,0.7784027685322389,False,1,False
extended_el_e2_mesh_run02,sockshop_mesh_extended,el_e2,run02,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,catalogue > orders > user > payment > carts > shipping,0.8993047035664693,0.006666666666666667,0.8926380368998026,0.8993047035664693,True,0,True
extended_el_e2_mesh_run02,sockshop_mesh_extended,el_e2,run02,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,catalogue > orders > user > payment > carts > shipping,0.8993047035664693,0.006666666666666667,0.8926380368998026,0.8993047035664693,True,1,False
extended_el_e2_mesh_run03,sockshop_mesh_extended,el_e2,run03,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,shipping > orders > carts > user > payment > catalogue,0.30598858006807117,0.0,0.30598858006807117,0.30598858006807117,False,0,True
extended_el_e2_mesh_run03,sockshop_mesh_extended,el_e2,run03,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,shipping > orders > carts > user > payment > catalogue,0.30598858006807117,0.0,0.30598858006807117,0.30598858006807117,False,1,False
extended_el_e2_mesh_run04,sockshop_mesh_extended,el_e2,run04,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,user > orders > catalogue > payment > shipping > carts,0.5884289381143324,0.02,0.5684289381143324,0.5884289381143324,True,0,True
extended_el_e2_mesh_run04,sockshop_mesh_extended,el_e2,run04,payment,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,user > orders > catalogue > payment > shipping > carts,0.5684289381143324,0.0,0.5684289381143324,0.5684289381143324,False,1,False
extended_el_e2_mesh_run05,sockshop_mesh_extended,el_e2,run05,payment,front-end,0,dycause_entry_0based_raw,entry_index_experiment,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > orders > user > carts > shipping,0.42481031180860224,0.013333333333333334,0.41147697847526893,0.42481031180860224,True,0,True
